,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",5992553,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,"The Box","Roddy Ricch",5378901,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Dance Monkey","Tones and I",5192353,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Don't Start Now","Dua Lipa",4707494,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,"La Difícil","Bad Bunny",4600028,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
6,Ignorantes,"Bad Bunny",4180633,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
7,"Si Veo a Tu Mamá","Bad Bunny",4170603,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
8,"Intentions (feat. Quavo)","Justin Bieber",4124201,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
9,Tusa,"KAROL G",3632790,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
10,"Say So","Doja Cat",3620782,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
11,Falling,"Trevor Daniel",3527266,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
12,"La Santa","Bad Bunny",3391461,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
13,ROXANNE,"Arizona Zervas",3382446,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
14,"Stupid Love","Lady Gaga",3038452,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
15,Vete,"Bad Bunny",3035100,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
16,Circles,"Post Malone",2823640,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
17,Yummy,"Justin Bieber",2760572,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
18,"Life Is Good (feat. Drake)",Future,2752317,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
19,"Someone You Loved","Lewis Capaldi",2744571,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
20,"No Time To Die","Billie Eilish",2739571,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
21,"everything i wanted","Billie Eilish",2655488,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
22,Memories,"Maroon 5",2602231,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
23,"That Way","Lil Uzi Vert",2530404,https://open.spotify.com/track/5raTDhlbxFDnpn89bxArdH
24,"Pero Ya No","Bad Bunny",2485692,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
25,"Godzilla (feat. Juice WRLD)",Eminem,2469799,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
26,"Adore You","Harry Styles",2447234,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
27,"Blueberry Faygo","Lil Mosey",2432321,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
28,"Yo Perreo Sola","Bad Bunny",2425387,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
29,"Roses - Imanbek Remix","SAINt JHN",2406117,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
30,"After Hours","The Weeknd",2390166,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
31,"Sunday Best",Surfaces,2337383,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
32,Safaera,"Bad Bunny",2328472,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
33,"death bed (feat. beabadoobee)",Powfu,2193358,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
34,"bad guy","Billie Eilish",2188777,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
35,Rojo,"J Balvin",2132650,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
36,"You should be sad",Halsey,2122935,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
37,"Before You Go","Lewis Capaldi",2116089,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
38,Señorita,"Shawn Mendes",2054740,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
39,Physical,"Dua Lipa",2034547,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
40,René,Residente,1967692,https://open.spotify.com/track/6gm12xlADJwiBbHIKBXzGW
41,Bichiyal,"Bad Bunny",1964600,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
42,"My Oh My (feat. DaBaby)","Camila Cabello",1940454,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
43,Soliá,"Bad Bunny",1926161,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
44,"Sigues Con El","Dimelo Flow",1926087,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
45,"RITMO (Bad Boys For Life)","Black Eyed Peas",1900154,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
46,"Moral of the Story",Ashe,1875585,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
47,Morado,"J Balvin",1867064,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
48,"A Tu Merced","Bad Bunny",1799563,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
49,"Está Cabrón Ser Yo","Bad Bunny",1730951,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG
50,"High Fashion (feat. Mustard)","Roddy Ricch",1713253,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
51,"Lose Control",MEDUZA,1690273,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
52,"Que Malo","Bad Bunny",1666482,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
53,25/8,"Bad Bunny",1650926,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
54,"Forever (feat. Post Malone & Clever)","Justin Bieber",1636236,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
55,"La Zona","Bad Bunny",1626237,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
56,"To Die For","Sam Smith",1574140,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
57,"Ride It",Regard,1571759,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
58,"WHATS POPPIN","Jack Harlow",1546453,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
59,"Hola - Remix",Dalex,1523888,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
60,"I Don't Care (with Justin Bieber)","Ed Sheeran",1497922,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
61,Diosa,"Myke Towers",1488320,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
62,"Una Vez","Bad Bunny",1487694,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
63,<3,"Bad Bunny",1475233,https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm
64,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1468401,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
