,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",5960151,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,"The Box","Roddy Ricch",5408648,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Dance Monkey","Tones and I",5188763,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Don't Start Now","Dua Lipa",4685644,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,"La Difícil","Bad Bunny",4460633,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
6,"Si Veo a Tu Mamá","Bad Bunny",4135190,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
7,"Intentions (feat. Quavo)","Justin Bieber",4078714,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
8,Ignorantes,"Bad Bunny",4033706,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
9,Tusa,"KAROL G",3639270,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
10,"Say So","Doja Cat",3624838,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
11,Falling,"Trevor Daniel",3515920,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
12,ROXANNE,"Arizona Zervas",3352223,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
13,"La Santa","Bad Bunny",3257797,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
14,Vete,"Bad Bunny",2967586,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
15,"Stupid Love","Lady Gaga",2902408,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
16,Circles,"Post Malone",2809634,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
17,"Someone You Loved","Lewis Capaldi",2754975,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
18,Yummy,"Justin Bieber",2747489,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
19,"Life Is Good (feat. Drake)",Future,2724329,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
20,"No Time To Die","Billie Eilish",2646141,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
21,"everything i wanted","Billie Eilish",2625190,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
22,Memories,"Maroon 5",2572280,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
